874 2871
505 508 449
861 681 953
760 157 295
468 634 215
125 242 298
671 336 759
138 53 895
104 362 116
855 787 730
169 445 947
844 581 857
538 648 755
347 691 173
33 107 86
508 852 185
363 48 244
426 829 633
389 77 740
771 77 879
265 120 378
234 739 33
748 178 316
367 173 376
426 858 303
367 820 7
171 766 987
647 98 412
846 105 58
207 645 600
873 22 581
229 530 658
698 721 270
281 106 741
574 351 881
83 136 124
451 750 89
261 720 595
527 385 88
654 311 148
37 583 714
9 721 381
805 826 888
548 423 277
842 605 532
20 106 718
29 361 799
786 848 755
557 814 440
284 285 228
725 265 699
48 73 340
242 386 832
276 638 235
482 532 545
662 326 691
728 627 395
88 343 994
143 256 840
795 476 700
395 840 779
373 744 647
478 838 211
4 693 165
621 176 823
352 44 898
91 540 914
336 93 285
827 181 901
239 260 740
777 642 221
296 260 535
249 600 360
732 106 588
72 487 225
348 38 901
353 683 860
396 473 908
840 818 126
603 544 190
222 410 874
839 844 724
23 545 281
416 383 511
298 264 461
194 509 764
188 609 496
698 660 488
22 309 583
584 537 22
808 425 781
700 808 770
487 498 326
337 434 617
313 589 206
148 299 851
834 656 438
65 845 978
114 783 245
485 568 386
296 795 891
186 234 317
495 298 3
715 340 69
303 238 825
615 120 220
129 748 731
418 577 154
101 360 181
843 772 73
430 461 834
508 91 405
524 160 810
498 378 7
60 462 602
777 470 228
329 686 441
88 210 237
207 513 617
549 11 675
168 145 879
141 807 977
319 587 612
254 479 928
221 357 970
432 541 277
111 672 722
170 240 72
371 402 489
748 381 274
134 596 751
826 707 983
218 316 301
756 510 187
546 448 980
440 247 178
442 820 786
720 9 522
851 458 293
112 219 355
834 200 970
665 115 809
232 544 569
74 149 155
583 1 335
483 588 789
479 774 653
385 151 190
255 77 68
5 1 88
563 721 964
708 678 819
872 444 309
374 477 483
423 716 860
527 517 407
714 173 684
594 430 43
92 629 312
578 251 411
800 234 626
694 73 840
420 221 519
11 707 77
360 487 454
478 684 862
282 290 761
390 178 143
706 805 238
659 142 28
814 60 477
705 127 214
54 799 117
660 193 316
650 462 536
832 496 938
52 243 497
717 52 372
241 844 786
765 736 336
419 248 832
375 299 801
607 335 427
770 259 460
144 190 299
731 17 402
331 425 636
346 55 49
150 643 245
604 378 286
432 241 726
125 150 429
349 287 995
543 521 595
189 77 350
759 163 923
24 89 406
551 171 777
500 148 718
181 699 413
544 190 129
302 471 799
286 387 9
807 337 347
552 360 912
840 226 797
569 500 992
508 768 238
333 855 27
684 620 92
223 272 764
483 679 403
157 543 50
7 106 616
720 739 761
481 380 978
761 547 26
431 542 328
282 822 201
362 349 170
112 623 833
868 507 534
474 188 607
718 83 664
657 38 337
733 259 299
291 773 860
283 119 913
767 407 728
69 511 902
832 396 261
773 456 295
361 819 212
825 513 524
106 448 49
835 629 369
641 116 87
261 846 312
342 462 852
92 530 56
397 722 262
689 185 558
642 743 67
397 510 34
836 363 871
496 513 781
240 276 330
146 800 327
345 6 626
307 427 49
329 790 962
811 22 453
833 427 893
617 386 334
188 494 948
4 810 757
85 108 583
187 470 635
139 696 599
275 804 549
549 712 742
236 870 301
506 515 777
163 469 545
593 355 526
427 132 731
440 275 470
873 702 630
179 368 801
159 556 561
173 228 389
148 581 480
522 572 30
862 136 568
231 474 421
7 289 208
323 478 332
11 533 956
772 169 809
620 649 663
315 87 395
554 336 353
515 454 202
607 544 222
558 483 856
146 758 492
252 670 819
389 560 502
300 655 982
264 558 862
473 222 70
548 370 539
813 413 791
601 633 948
110 639 718
621 304 11
68 857 848
385 137 107
539 127 54
351 206 99
598 105 178
325 354 147
743 458 167
787 822 274
486 258 812
178 361 356
857 798 117
844 291 948
174 46 982
602 251 791
764 655 997
261 279 225
182 567 429
98 172 489
149 334 12
606 273 203
565 423 949
154 299 468
661 165 398
621 440 571
616 817 792
41 325 160
590 601 342
156 146 583
825 314 873
154 645 925
694 638 919
792 1 846
91 135 839
114 764 67
55 339 493
747 617 584
796 195 290
600 668 954
579 128 984
500 550 894
27 303 243
371 722 511
191 402 578
717 806 298
457 865 6
241 174 561
756 277 594
449 345 716
760 10 87
872 489 393
828 222 7
637 234 769
424 48 907
146 301 834
866 261 687
800 125 731
522 118 43
455 758 8
722 280 636
62 545 514
418 50 983
393 598 263
371 801 423
220 470 290
176 720 277
224 254 962
275 241 129
473 647 155
677 175 849
217 661 550
605 791 949
383 678 482
450 451 473
299 332 921
709 492 311
2 439 868
111 155 491
841 706 717
100 254 834
579 581 593
440 649 433
308 612 449
824 541 656
867 599 592
26 222 749
247 605 89
76 271 159
359 693 430
554 9 105
292 203 336
493 372 591
530 675 246
22 97 193
695 713 388
452 552 600
793 67 84
453 423 436
53 745 271
679 266 929
794 609 104
375 652 153
247 294 378
280 393 886
11 490 72
702 853 311
652 260 58
333 829 179
402 676 656
132 36 504
42 577 453
255 408 163
653 455 625
722 764 540
776 660 449
22 272 967
442 464 726
692 36 461
772 677 495
280 367 544
163 506 335
264 351 146
449 674 642
848 307 855
652 809 717
29 170 628
597 535 264
80 317 282
687 449 758
400 385 52
196 378 476
389 522 946
314 627 341
206 862 285
446 416 812
681 301 777
11 182 339
399 595 887
252 807 144
535 303 564
686 604 929
840 502 205
406 68 400
322 35 535
705 590 621
701 258 661
511 393 899
32 194 262
33 855 477
263 81 859
336 623 514
99 148 582
507 410 555
599 291 746
14 461 635
373 369 655
291 620 525
258 255 56
424 509 915
752 649 596
616 671 288
731 800 868
697 369 688
203 128 983
502 664 529
396 820 448
422 375 402
824 670 492
707 67 743
383 451 280
845 326 252
826 100 346
460 386 247
112 212 938
687 234 243
547 575 345
83 744 901
28 651 396
789 571 875
534 806 620
153 274 380
643 297 454
107 826 6
359 687 291
335 796 823
785 863 582
660 205 71
69 57 659
362 310 114
514 471 995
659 322 720
206 234 999
378 827 345
848 362 685
871 868 107
170 748 676
478 427 213
156 358 882
771 25 124
279 496 654
97 440 101
414 18 442
480 693 256
845 36 664
591 437 575
350 377 989
452 52 124
169 376 720
263 671 713
151 493 768
310 398 401
236 216 193
749 608 187
83 260 325
602 160 925
537 641 963
93 809 732
308 264 699
622 687 370
443 826 986
247 237 576
128 502 582
593 404 825
25 172 448
755 135 246
113 31 642
743 314 958
822 444 822
12 59 614
591 346 850
782 10 932
88 476 650
369 596 547
785 224 767
767 209 105
302 274 753
578 152 301
783 718 296
694 686 282
147 487 994
623 454 855
618 846 918
721 712 968
800 484 148
662 204 883
435 413 598
371 739 538
